OID,Date,Species,Habitat,Porte,lat,lon,Month,Day,Year
1,11/30/2018,Arundo donax,Terreno Inculto,Erva,38.8336624,-9.2606429,11,30,2018
2,12/31/2018,Opuntia maxima,Terreno Inculto,Suculenta,40.04249334,-7.014157941,12,31,2018
3,12/30/2018,Arundo donax,Berma de estrada/caminho-de-ferro,Erva,39.3553011,-9.1537447,12,30,2018
4,12/29/2018,Arundo donax,Berma de estrada/caminho-de-ferro,Erva,42.03602662,-8.644474846,12,29,2018
5,12/29/2018,Cortaderia selloana,Terreno Inculto,Erva,41.40616693,-8.521660404,12,29,2018
6,12/29/2018,Conyza sumatrensis,Berma de estrada/caminho-de-ferro,Erva,41.57966778,-8.43142242,12,29,2018
7,12/29/2018,Cortaderia selloana,Berma de estrada/caminho-de-ferro,Erva,41.57900615,-8.43236419,12,29,2018
8,12/29/2018,Cortaderia selloana,Pinhal,Erva,38.62508,-9.132858333,12,29,2018
9,12/29/2018,Acacia longifolia,Pinhal,AÅrvore ou arbusto,38.62517,-9.133083333,12,29,2018
10,12/29/2018,Carpobrotus edulis,Pinhal,Suculenta,38.62486167,-9.132563333,12,29,2018
11,12/29/2018,Acacia longifolia,Pinhal,AÅrvore ou arbusto,38.62493333,-9.132356667,12,29,2018
12,12/29/2018,Acacia longifolia,Pinhal,AÅrvore ou arbusto,38.625165,-9.132196667,12,29,2018
13,12/29/2018,Acacia longifolia,Pinhal,AÅrvore ou arbusto,38.62563167,-9.132233333,12,29,2018
14,12/29/2018,Acacia longifolia,Carvalhal,AÅrvore ou arbusto,38.62559833,-9.130788333,12,29,2018
15,12/29/2018,Acacia longifolia,Pinhal,AÅrvore ou arbusto,38.62507833,-9.131561667,12,29,2018
16,12/29/2018,Carpobrotus edulis,Pinhal,Suculenta,38.62498667,-9.131653333,12,29,2018
17,12/29/2018,Acacia longifolia,Pinhal,AÅrvore ou arbusto,38.62471,-9.131303333,12,29,2018
18,12/29/2018,Acacia longifolia,Berma de estrada/caminho-de-ferro,AÅrvore ou arbusto,38.623965,-9.13027,12,29,2018
19,12/29/2018,Carpobrotus edulis,Berma de estrada/caminho-de-ferro,Suculenta,38.62317333,-9.129311667,12,29,2018
20,12/29/2018,Carpobrotus edulis,Berma de estrada/caminho-de-ferro,Suculenta,38.62343667,-9.129333333,12,29,2018
21,12/29/2018,Cortaderia selloana,Berma de estrada/caminho-de-ferro,Erva,38.62323,-9.129796667,12,29,2018
22,12/29/2018,Oxalis pes-caprae,Eucaliptal,Erva,37.812665,-8.760656667,12,29,2018
23,12/28/2018,Acacia longifolia,Berma de estrada/caminho-de-ferro,AÅrvore ou arbusto,40.60661643,-8.675458222,12,28,2018
24,12/29/2018,Acacia longifolia,Pinhal,AÅrvore ou arbusto,37.81688667,-8.779878333,12,29,2018
25,12/28/2018,Arundo donax,Berma de estrada/caminho-de-ferro,Erva,42.0292355,-8.636582318,12,28,2018
26,12/28/2018,Oxalis pes-caprae,Berma de estrada/caminho-de-ferro,Erva,42.0295539,-8.636031101,12,28,2018
27,12/28/2018,Acacia dealbata,Berma de estrada/caminho-de-ferro,AÅrvore ou arbusto,42.02995099,-8.635158586,12,28,2018
28,12/28/2018,Acacia melanoxylon,Berma de estrada/caminho-de-ferro,AÅrvore ou arbusto,42.0308986,-8.638104499,12,28,2018
29,12/28/2018,Oxalis pes-caprae,Jardim,Erva,42.02640825,-8.641910739,12,28,2018
30,12/27/2018,Oxalis pes-caprae,Berma de estrada/caminho-de-ferro,Erva,42.07372567,-8.364563473,12,27,2018
31,12/27/2018,Agave americana,Jardim,Suculenta,42.07330503,-8.364975731,12,27,2018
32,12/27/2018,Arundo donax,Terreno Inculto,Erva,42.0725302,-8.363510316,12,27,2018
33,12/28/2018,Oxalis pes-caprae,Berma de estrada/caminho-de-ferro,Erva,40.58823339,-8.685375925,12,28,2018
34,12/28/2018,Cortaderia selloana,Pinhal,Erva,38.87700697,-8.726100965,12,28,2018
35,12/27/2018,Agave americana,Terreno Inculto,Suculenta,39.67372257,-8.54795635,12,27,2018
36,12/27/2018,Arundo donax,Beira de √°gua,Erva,39.67821356,-8.55157448,12,27,2018
37,12/27/2018,Agave americana,Berma de estrada/caminho-de-ferro,Suculenta,39.65201369,-8.492726851,12,27,2018
38,12/27/2018,Oxalis pes-caprae,Berma de estrada/caminho-de-ferro,Erva,39.6230662,-8.440950243,12,27,2018
39,12/27/2018,Agave americana,Jardim,Suculenta,39.6509498,-8.6186134,12,27,2018
40,12/27/2018,Oxalis pes-caprae,√Å¬Årea agr√≠cola,Erva,39.6509498,-8.6186134,12,27,2018
41,12/27/2018,Arundo donax,Beira de √°gua,Erva,39.65959,-8.546945,12,27,2018
42,12/27/2018,Arundo donax,Beira de √°gua,Erva,39.65937167,-8.546393333,12,27,2018
43,12/27/2018,Arundo donax,Beira de √°gua,Erva,39.6584954,-8.5465078,12,27,2018
44,12/27/2018,Arundo donax,Beira de √°gua,Erva,39.65869056,-8.546638936,12,27,2018
45,12/27/2018,Arundo donax,Beira de √°gua,Erva,39.65541448,-8.546674628,12,27,2018
46,12/27/2018,Oxalis pes-caprae,Berma de estrada/caminho-de-ferro,Erva,39.65198246,-8.534675578,12,27,2018
47,12/27/2018,Oxalis pes-caprae,Berma de estrada/caminho-de-ferro,Erva,39.65496091,-8.54196639,12,27,2018
48,12/27/2018,Agave americana,Berma de estrada/caminho-de-ferro,Suculenta,39.65402294,-8.54185643,12,27,2018
49,12/25/2018,Phytolacca americana,√Å¬Årea agr√≠cola,Erva,42.07228609,-8.361847973,12,25,2018
50,12/24/2018,Carpobrotus edulis,Jardim,Suculenta,42.07845001,-8.322058553,12,24,2018
51,12/23/2018,Carpobrotus edulis,Eucaliptal,Suculenta,41.29025721,-8.703967447,12,23,2018
52,12/23/2018,Cortaderia selloana,Eucaliptal,Erva,41.28874948,-8.701925526,12,23,2018
53,12/01/2018,Ricinus communis,Berma de estrada/caminho-de-ferro,AÅrvore ou arbusto,38.53777642,-8.913186844,12,1,2018
54,12/01/2018,Arundo donax,Terreno Inculto,Erva,38.53403709,-8.921663013,12,1,2018
55,11/24/2018,Ailanthus altissima,Jardim,AÅrvore ou arbusto,38.71167233,-9.161873285,11,24,2018
56,11/19/2018,Agave americana,Terreno Inculto,Suculenta,38.53922388,-8.917432873,11,19,2018
57,11/19/2018,Arundo donax,√Å¬Årea agr√≠cola,Erva,38.53878538,-8.919901624,11,19,2018
58,11/19/2018,Ailanthus altissima,Berma de estrada/caminho-de-ferro,AÅrvore ou arbusto,38.53701441,-8.914273659,11,19,2018
59,11/19/2018,Arundo donax,√Å¬Årea agr√≠cola,Erva,38.53766967,-8.913353505,11,19,2018
60,11/19/2018,Agave americana,Berma de estrada/caminho-de-ferro,Suculenta,38.53901803,-8.911800566,11,19,2018
61,12/23/2018,Cortaderia selloana,Jardim,Erva,41.17133416,-8.685241333,12,23,2018
62,11/19/2018,Agave americana,Berma de estrada/caminho-de-ferro,Suculenta,38.5395421,-8.912583771,11,19,2018
63,11/19/2018,Opuntia maxima,Berma de estrada/caminho-de-ferro,Suculenta,38.53952532,-8.912621322,11,19,2018
64,11/19/2018,Agave americana,Berma de estrada/caminho-de-ferro,Suculenta,38.53980237,-8.912577179,11,19,2018
65,11/19/2018,Opuntia maxima,Berma de estrada/caminho-de-ferro,Suculenta,38.54085875,-8.91152698,11,19,2018
66,11/19/2018,Arundo donax,Berma de estrada/caminho-de-ferro,Erva,38.54114548,-8.911800566,11,19,2018
67,11/19/2018,Arundo donax,√Å¬Årea agr√≠cola,Erva,38.54351721,-8.911953175,11,19,2018
