"mlMethod","Sensor","NC1","NC2","mxKappa","mxAccuracy","varNames"
"rf","Geoeye_1",4,4,0.786116863433685,0.894028571428571,"Blue | Green | Red | NIR1"
"rf","Ikonos",4,4,0.792574682583444,0.897214285714286,"Blue | Green | Red | NIR1"
"rf","Kompsat_2,_3_and_3A",5,5,0.808311567717722,0.904914285714286,"Blue | Green | Red | VRE2 | NIR1"
"rf","Landsat-8",5,7,0.78855848281944,0.895228571428571,"Costl_Arsol | Blue | Green | Red | NIR2"
"rf","Parrot_Sequoia",4,4,0.821731320225406,0.911585714285714,"Green | Red | VRE2 | NIR1"
"rf","Planet_-_Dove_1_to_4",4,4,0.786379930224091,0.894114285714286,"Blue | Green | Red | NIR1"
"rf","RapidEye",5,5,0.826904457627916,0.914128571428571,"Blue | Green | Red | VRE1 | NIR1"
"rf","RedEdgeMx",5,5,0.795667665963751,0.898671428571429,"Blue | Green | Red | VRE2 | NIR1"
"rf","Sentinel-2",10,13,0.808707096339674,0.905157142857143,"Costl_Arsol | Blue | Green | Red | VRE1 | VRE2 | VRE3 | NIR1 | NIR2 | WV"
"rf","SPOT_6_and_7",4,4,0.800494649333125,0.9011,"Blue | Green | Red | NIR1"
"rf","Worldview-2",7,7,0.806575689593049,0.904142857142857,"Costl_Arsol | Blue | Green | Yellow | Red | VRE2 | NIR1"
"rf","Worldview-2_and_3",6,6,0.800245736565809,0.900914285714286,"Costl_Arsol | Blue | Green | Yellow | Red | VRE2"
"rf","Worldview-3",8,16,0.809627266426593,0.9056,"Costl_Arsol | Blue | Green | Yellow | Red | VRE2 | NIR1 | NIR2"
"C5.0Tree","Geoeye_1",4,4,0.745731575698069,0.873657142857143,"Blue | Green | Red | NIR1"
"C5.0Tree","Ikonos",4,4,0.753649590264264,0.877557142857143,"Blue | Green | Red | NIR1"
"C5.0Tree","Kompsat_2,_3_and_3A",5,5,0.767035034615628,0.884257142857143,"Blue | Green | Red | VRE2 | NIR1"
"C5.0Tree","Landsat-8",5,7,0.754217621223726,0.877942857142857,"Costl_Arsol | Blue | Green | Red | NIR2"
"C5.0Tree","Parrot_Sequoia",4,4,0.786251272542701,0.893842857142857,"Green | Red | VRE2 | NIR1"
"C5.0Tree","Planet_-_Dove_1_to_4",4,4,0.739493653776783,0.870657142857143,"Blue | Green | Red | NIR1"
"C5.0Tree","RapidEye",5,5,0.775412722340361,0.8884,"Blue | Green | Red | VRE1 | NIR1"
"C5.0Tree","RedEdgeMx",5,5,0.74992302512053,0.875857142857143,"Blue | Green | Red | VRE2 | NIR1"
"C5.0Tree","Sentinel-2",10,13,0.816067417474415,0.9085,"Costl_Arsol | Blue | Green | Red | VRE1 | VRE2 | VRE3 | NIR1 | NIR2 | WV"
"C5.0Tree","SPOT_6_and_7",4,4,0.760882116664368,0.881157142857143,"Blue | Green | Red | NIR1"
"C5.0Tree","Worldview-2",7,7,0.761378816468083,0.881542857142857,"Costl_Arsol | Blue | Green | Yellow | Red | VRE2 | NIR1"
"C5.0Tree","Worldview-2_and_3",6,6,0.754594288405998,0.878057142857143,"Costl_Arsol | Blue | Green | Yellow | Red | VRE2"
"C5.0Tree","Worldview-3",8,16,0.759226766688717,0.880457142857143,"Costl_Arsol | Blue | Green | Yellow | Red | VRE2 | NIR1 | NIR2"
"adaboost","Geoeye_1",4,4,0.824516216255757,0.912785714285714,"Blue | Green | Red | NIR1"
"adaboost","Ikonos",4,4,0.821872450938689,0.911542857142857,"Blue | Green | Red | NIR1"
"adaboost","Kompsat_2,_3_and_3A",5,5,0.842299490406437,0.921614285714286,"Blue | Green | Red | VRE2 | NIR1"
"adaboost","Landsat-8",5,7,0.826849707592414,0.914014285714286,"Costl_Arsol | Blue | Green | Red | NIR2"
"adaboost","Parrot_Sequoia",4,4,0.850104811317859,0.925428571428571,"Green | Red | VRE2 | NIR1"
"adaboost","Planet_-_Dove_1_to_4",4,4,0.827583384286456,0.914385714285714,"Blue | Green | Red | NIR1"
"adaboost","RapidEye",5,5,0.85085498091456,0.925814285714286,"Blue | Green | Red | VRE1 | NIR1"
"adaboost","RedEdgeMx",5,5,0.808673321577021,0.904957142857143,"Blue | Green | Red | VRE2 | NIR1"
"adaboost","Sentinel-2",10,13,0.867014935427954,0.933785714285714,"Costl_Arsol | Blue | Green | Red | VRE1 | VRE2 | VRE3 | NIR1 | NIR2 | WV"
"adaboost","SPOT_6_and_7",4,4,0.828423311747013,0.914771428571429,"Blue | Green | Red | NIR1"
"adaboost","Worldview-2",7,7,0.835647028794412,0.918371428571429,"Costl_Arsol | Blue | Green | Yellow | Red | VRE2 | NIR1"
